Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_R1_001	1187421.0	60.0	687963.0	57.94	57.15	58072.0	55653.0	57283.0	691.0	71.0	27.0	0.85	0.03	2.38	0.01	1.83	45153.0	3.8	4500.0	0.38	0.03	34.07	3.78	356	404563	44886
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_R1_001	357361.0	59.0	209520.0	58.63	55.04	16659.0	15797.0	16354.0	260.0	41.0	4.0	0.92	0.02	2.12	0.01	1.98	14632.0	4.09	1338.0	0.37	0.03	35.48	1.39	107	126796	4967
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_R1_001	17593.0	61.0	6954.0	39.53	62.85	414.0	407.0	409.0	5.0	0.0	0.0	1.54	0.03	2.08	0.03	1.76	665.0	3.78	64.0	0.36	0.18	53.44	2.71	32	9402	477
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_R1_001	327822.0	57.0	172095.0	52.5	52.27	10357.0	9784.0	10190.0	113.0	52.0	2.0	1.51	0.02	2.17	0.01	2.05	11687.0	3.57	1169.0	0.36	0.03	39.84	3.72	98	130580	12193
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_R1_001	2099339.0	64.0	1078538.0	51.38	60.15	66640.0	63934.0	65656.0	866.0	93.0	25.0	0.82	0.03	2.2	0.02	1.86	86576.0	4.12	5495.0	0.26	0.04	40.27	3.93	840	845388	82502
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_R1_001	2031274.0	64.0	949533.0	46.75	60.07	100862.0	97041.0	99262.0	1435.0	143.0	22.0	0.97	0.03	2.94	0.01	2.07	81482.0	4.01	13997.0	0.69	0.06	43.67	4.83	1219	886945	98098
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_R1_001	759017.0	59.0	435209.0	57.34	55.35	34477.0	32983.0	33966.0	389.0	110.0	12.0	0.88	0.02	2.34	0.01	1.77	27027.0	3.56	2800.0	0.37	0.04	35.64	3.05	304	270526	23151
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_R1_001	5039693.0	67.0	3378981.0	67.05	66.72	199878.0	192195.0	196550.0	2809.0	101.0	418.0	0.58	0.03	2.12	0.02	1.75	138055.0	2.74	13692.0	0.27	0.12	26.92	2.9	6048	1356758	146159
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_R1_001	3978385.0	62.0	2210691.0	55.57	59.82	164854.0	158228.0	162470.0	2091.0	208.0	85.0	0.69	0.03	2.26	0.01	1.89	132711.0	3.34	12627.0	0.32	0.05	35.92	4.81	1989	1429010	191357
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_R1_001	242734.0	62.0	128407.0	52.9	57.56	12415.0	11677.0	12229.0	103.0	81.0	2.0	1.46	0.01	1.9	0.01	2.09	8219.0	3.39	550.0	0.23	0.03	39.84	3.62	73	96699	8786
