sampleID,block_y,harvest_date_y,dry_date_y
A01_1_1_i,1,5/24/22,7/20/22
A01_1_1_o,1,5/24/22,7/20/22
A01_1_2_i,1,5/24/22,7/27/22
A01_1_2_o,1,5/24/22,7/20/22
A01_1_3_i,1,5/24/22,7/20/22
A01_1_3_o,1,5/24/22,7/20/22
C65_1_1_i,1,5/24/22,7/20/22
C65_1_1_o,1,5/24/22,7/20/22
C65_1_2_i,1,5/24/22,7/20/22
C65_1_2_o,1,5/24/22,7/20/22
C65_1_3_i,1,5/24/22,7/20/22
C65_1_3_o,1,5/24/22,7/20/22
X8_33_1_i,1,5/24/22,7/27/22
X8_33_1_o,1,5/24/22,7/27/22
X8_33_2_i,1,5/24/22,7/27/22
X8_33_2_o,1,5/24/22,7/27/22
X8_33_3_i,1,5/24/22,7/27/22
X8_33_3_o,1,5/24/22,7/27/22
X11_57_1_i,1,5/24/22,7/27/22
X11_57_1_o,1,5/24/22,7/27/22
X11_57_2_i,1,5/24/22,7/27/22
X11_57_2_o,1,5/24/22,7/27/22
X11_57_3_i,1,5/24/22,7/27/22
X11_57_3_o,1,5/24/22,7/27/22
X10_52_1_i,1,5/24/22,7/27/22
X10_52_1_o,1,5/24/22,7/27/22
X10_52_2_i,1,5/24/22,7/27/22
X10_52_2_o,1,5/24/22,7/27/22
X10_52_3_i,1,5/24/22,7/27/22
X10_52_3_o,1,5/24/22,7/27/22
X1_54_1_i,1,5/24/22,7/27/22
X1_54_1_o,1,5/24/22,7/27/22
X1_54_2_i,1,5/24/22,7/27/22
X1_54_2_o,1,5/24/22,7/27/22
X1_54_3_i,1,5/24/22,8/3/22
X1_54_3_o,1,5/24/22,7/27/22
A27_1_1_i,1,5/24/22,7/27/22
A27_1_1_o,1,5/24/22,6/29/22
A27_1_2_i,1,5/24/22,7/27/22
A27_1_2_o,1,5/24/22,8/3/22
A27_1_3_i,1,5/24/22,8/3/22
A27_1_3_o,1,5/24/22,8/3/22
X3_25_1_i,1,5/24/22,8/3/22
X3_25_1_o,1,5/24/22,8/3/22
X3_25_2_i,1,5/24/22,8/3/22
X3_25_2_o,1,5/24/22,8/3/22
X3_25_3_i,1,5/24/22,8/3/22
X3_25_3_o,1,5/24/22,8/3/22
X5_31_1_i,1,5/24/22,8/3/22
X5_31_1_o,1,5/24/22,8/3/22
X5_31_2_i,1,5/24/22,8/3/22
X5_31_2_o,1,5/24/22,8/3/22
X5_31_3_i,1,5/24/22,8/3/22
X5_31_3_o,1,5/24/22,8/3/22
C43_1_1_i,1,5/24/22,8/3/22
C43_1_1_o,1,5/24/22,8/3/22
C43_1_2_i,1,5/24/22,8/3/22
C43_1_2_o,1,5/24/22,8/3/22
C43_1_3_i,1,5/24/22,8/3/22
C43_1_3_o,1,5/24/22,8/3/22
X2_45_1_i,1,5/24/22,8/3/22
X2_45_1_o,1,5/24/22,8/3/22
X2_45_2_i,1,5/24/22,8/3/22
X2_45_2_o,1,5/24/22,8/3/22
X2_45_3_i,1,5/24/22,8/3/22
X2_45_3_o,1,5/24/22,8/3/22
A20_1_1_i,1,5/24/22,8/3/22
A20_1_1_o,1,5/24/22,8/3/22
A20_1_2_i,1,5/24/22,8/3/22
A20_1_2_o,1,5/24/22,8/3/22
A20_1_3_i,1,5/24/22,7/14/22
A20_1_3_o,1,5/24/22,7/14/22
X6_26_1_i,1,5/24/22,8/3/22
X6_26_1_o,1,5/24/22,8/3/22
X6_26_2_i,1,5/24/22,7/27/22
X6_26_2_o,1,5/24/22,7/27/22
X6_26_3_i,1,5/24/22,7/27/22
X6_26_3_o,1,5/24/22,7/27/22
X9_27_1_i,1,5/24/22,7/27/22
X9_27_1_o,1,5/24/22,7/27/22
X9_27_2_i,1,5/24/22,7/27/22
X9_27_2_o,1,5/24/22,7/27/22
X9_27_3_i,1,5/24/22,7/27/22
X9_27_3_o,1,5/24/22,7/27/22
X3_61_1_i,1,5/24/22,7/27/22
X3_61_1_o,1,5/24/22,7/27/22
X3_61_2_i,1,5/24/22,7/27/22
X3_61_2_o,1,5/24/22,7/27/22
X3_61_3_i,1,5/24/22,7/27/22
X3_61_3_o,1,5/24/22,7/27/22
A04_1_1_i,1,5/24/22,7/27/22
A04_1_1_o,1,5/24/22,7/27/22
A04_1_2_i,1,5/24/22,8/1/22
A04_1_2_o,1,5/24/22,7/27/22
A04_1_3_i,1,5/24/22,7/27/22
A04_1_3_o,1,5/24/22,7/27/22
C64_1_1_i,1,5/24/22,7/27/22
C64_1_1_o,1,5/24/22,8/1/22
C64_1_2_i,1,5/24/22,8/1/22
C64_1_2_o,1,5/24/22,7/27/22
C64_1_3_i,1,5/24/22,8/1/22
C64_1_3_o,1,5/24/22,8/1/22
X4_67_1_i,1,5/24/22,8/1/22
X4_67_1_o,1,5/24/22,8/1/22
X4_67_2_i,1,5/24/22,8/1/22
X4_67_2_o,1,5/24/22,8/1/22
X4_67_3_i,1,5/24/22,8/1/22
X4_67_3_o,1,5/24/22,8/1/22
C17_1_1_i,1,5/24/22,8/1/22
C17_1_1_o,1,5/24/22,8/1/22
C17_1_2_i,1,5/24/22,7/14/22
C17_1_2_o,1,5/24/22,7/14/22
C17_1_3_i,1,5/24/22,7/27/22
C17_1_3_o,1,5/24/22,8/3/22
X9_21_1_i,1,5/24/22,8/1/22
X9_21_1_o,1,5/24/22,8/1/22
X9_21_2_i,1,5/24/22,8/1/22
X9_21_2_o,1,5/24/22,8/1/22
X9_21_3_i,1,5/24/22,8/1/22
X9_21_3_o,1,5/24/22,8/1/22
C43_2_1_i,2,5/25/22,8/1/22
C43_2_1_o,2,5/25/22,8/1/22
C43_2_2_i,2,5/25/22,8/1/22
C43_2_2_o,2,5/25/22,8/1/22
C43_2_3_i,2,5/25/22,8/1/22
C43_2_3_o,2,5/25/22,8/1/22
X7_48_1_i,2,5/25/22,7/20/22
X7_48_1_o,2,5/25/22,7/20/22
X7_48_2_i,2,5/25/22,7/20/22
X7_48_2_o,2,5/25/22,7/20/22
X7_48_3_i,2,5/25/22,7/20/22
X7_48_3_o,2,5/25/22,7/20/22
X1_34_1_i,2,5/25/22,7/20/22
X1_34_1_o,2,5/25/22,7/20/22
X1_34_2_i,2,5/25/22,7/20/22
X1_34_2_o,2,5/25/22,7/20/22
X1_34_3_i,2,5/25/22,7/20/22
X1_34_3_o,2,5/25/22,7/20/22
A04_2_1_i,2,5/25/22,7/27/22
A04_2_1_o,2,5/25/22,7/27/22
A04_2_2_i,2,5/25/22,7/27/22
A04_2_2_o,2,5/25/22,7/27/22
A04_2_3_i,2,5/25/22,7/27/22
A04_2_3_o,2,5/25/22,7/27/22
A01_2_1_i,2,5/25/22,7/20/22
A01_2_1_o,2,5/25/22,7/20/22
A01_2_2_i,2,5/25/22,7/20/22
A01_2_2_o,2,5/25/22,7/20/22
