Module	Section	Sample Name	Source
FastQC	all_sections	209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_R1_001	/local/workdir/ssv42/RNAseq/fastQCoutput/209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_R1_001_fastqc.zip
FastQC	all_sections	209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_R1_001	/local/workdir/ssv42/RNAseq/fastQCoutput/209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_R1_001_fastqc.zip
FastQC	all_sections	209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_R1_001	/local/workdir/ssv42/RNAseq/fastQCoutput/209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_R1_001_fastqc.zip
FastQC	all_sections	209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_R1_001	/local/workdir/ssv42/RNAseq/fastQCoutput/209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_R1_001_fastqc.zip
FastQC	all_sections	209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_R1_001	/local/workdir/ssv42/RNAseq/fastQCoutput/209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_R1_001_fastqc.zip
FastQC	all_sections	209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_R1_001	/local/workdir/ssv42/RNAseq/fastQCoutput/209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_R1_001_fastqc.zip
FastQC	all_sections	209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_R1_001	/local/workdir/ssv42/RNAseq/fastQCoutput/209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_R1_001_fastqc.zip
FastQC	all_sections	209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_R1_001	/local/workdir/ssv42/RNAseq/fastQCoutput/209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_R1_001_fastqc.zip
FastQC	all_sections	209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_R1_001	/local/workdir/ssv42/RNAseq/fastQCoutput/209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_R1_001_fastqc.zip
FastQC	all_sections	209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_R1_001	/local/workdir/ssv42/RNAseq/fastQCoutput/209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_R1_001_fastqc.zip
